HF energy: -52.893914481982335
# of electrons: 10
# of spin orbitals: 18
IIIIIXIIIYYX	(8.628897813366254e-08+0j)
IIIIZXZIZYYX	(-8.628897813366254e-08+0j)
IIIIIXIIIXYY	(-8.628897813366254e-08+0j)
IIIIZXZIZXYY	(8.628897813366254e-08+0j)
IIIIIXXYYIXX	(0.00015425508702362984+0j)
IIIIZXYYXIXX	(-0.00015425508702362984+0j)
IIIIIXXXYIXY	(-0.00015425508702362984+0j)
IIIIZXYXXIXY	(0.00015425508702362984+0j)
IIIIIXYIYIXX	(8.793849185452867e-07+0j)
IIIIZXXIXIXX	(8.793849185452867e-07+0j)
IIIIIXXZYIXY	(-8.793849185452867e-07+0j)
IIIIZXYZXIXY	(8.793849185452867e-07+0j)
XIXXYYZIZIZX	(8.628897813366255e-08+0j)
XIXYYXZIZIZX	(-8.628897813366255e-08+0j)
XIXXYYZIZIIX	(-8.628897813366255e-08+0j)
XIXYYXZIZIIX	(8.628897813366255e-08+0j)
XIXXYYZIZYYX	(-0.0268023343716991+0j)
XIXYYXZIZYYX	(0.0268023343716991+0j)
XIXXYYZIZXYY	(0.0268023343716991+0j)
XIXYYXZIZXYY	(-0.0268023343716991+0j)
XIXXYYYYXIXX	(-0.0003277986702423224+0j)
XIXYYXYYXIXX	(0.0003277986702423224+0j)
XIXXYYYXXIXY	(0.0003277986702423224+0j)
XIXYYXYXXIXY	(-0.0003277986702423224+0j)
XIXXYYXIXIXX	(-1.9282831696207595e-07+0j)
XIXYYXXIXIXX	(1.9282831696207595e-07+0j)
XIXXYYYZXIXY	(-1.9282831696207595e-07+0j)
XIXYYXYZXIXY	(1.9282831696207595e-07+0j)
XIXZYYZIZIIZ	(8.796168092259375e-08+0j)
XIYIYXZIZIIZ	(-8.796168092259375e-08+0j)
XIXZYYZIIIXX	(0.02680226492082141+0j)
XIYIYXZIIIXX	(-0.02680226492082141+0j)
XIXZYYZIZZYY	(0.02680226492082141+0j)
XIYIYXZIZZYY	(-0.02680226492082141+0j)
XIXZYYYYXIXX	(0.004766394567751668+0j)
XIYIYXYYXIXX	(-0.004766394567751668+0j)
XIXZYYYXXIXY	(-0.004766394567751668+0j)
XIYIYXYXXIXY	(0.004766394567751668+0j)
